Time_Step,Average_Pressure,Fractured_Cells
0,0.0007017187500000001,1
1,0.0012069562499999998,5
2,0.001620240525,5
3,0.00200741614695,5
4,0.0023720562726650997,5
5,0.0027217261244432715,5
6,0.003059121233706133,5
7,0.0033866864018676627,5
8,0.003705914246331054,9
9,0.004017996458356744,9
10,0.004323812547310264,9
11,0.004624067970222016,9
12,0.004919325960995235,9
13,0.005210050808544149,9
14,0.005496628890628762,9
15,0.005779387118844377,9
16,0.0060586049418040674,9
17,0.006334523850970868,9
18,0.006607354351892583,9
19,0.006877281435728791,9
20,0.007144468821019396,13
21,0.0074090623338505775,13
22,0.007671192613541115,13
23,0.007930977310247382,13
24,0.008188522883862336,13
25,0.00844392609117795,13
26,0.008697275224751295,13
27,0.0089486511529348,13
28,0.00919812819890694,13
29,0.009445774888420836,13
30,0.009691654589625976,13
31,0.009935826063564619,13
32,0.010178343940241889,21
33,0.01041925913230838,21
34,0.010658619196145216,21
35,0.010896468648367987,21
36,0.011132849244353302,21
37,0.011367800224260092,21
38,0.01160135853110477,21
39,0.01183355900470852,21
40,0.012064434554729865,21
41,0.012294016315499357,21
42,0.012522333784963287,21
43,0.012749414949703608,21
44,0.01297528639771818,21
45,0.013199973420408451,21
46,0.01342350010502261,21
47,0.01364588941863418,21
48,0.01386716328459362,21
49,0.014087342652269528,21
50,0.014306447560792674,21
51,0.014524497197427664,21
52,0.014741509951121055,21
53,0.01495750346170931,21
54,0.015172494665213332,21
55,0.015386499835597376,21
56,0.015599534623327383,21
57,0.01581161409102677,21
58,0.01602275274649516,21
59,0.01623296457332711,21
60,0.016442263059343112,21
61,0.016650661223022868,21
62,0.016858171638111763,21
63,0.017064806456554227,21
64,0.017270577429892516,21
65,0.017475495929255982,21
66,0.017679572964054018,21
67,0.017882819199475118,21
68,0.018085244972885023,25
69,0.018286860309208487,25
70,0.01848767493537146,25
71,0.018687698293873775,25
72,0.01888693955555621,25
73,0.019085407631620383,25
74,0.019283111184954783,25
75,0.019480058640816002,25
76,0.019676258196909924,29
77,0.019871717832914127,29
78,0.02006644531947938,29
79,0.02026044822674502,29
80,0.020453733932400464,29
81,0.020646309629322252,29
82,0.020838182332814176,29
83,0.02102935888747562,29
84,0.02121984597372155,29
85,0.021409650113975772,29
86,0.021598777678557505,29
87,0.021787234891279914,29
88,0.02197502783477783,29
89,0.022162162455580794,29
90,0.022348644568946207,29
91,0.022534479863466694,29
92,0.02271967390546445,29
93,0.02290423214318471,29
94,0.023088159910799707,37
95,0.023271462432233422,37
96,0.02345414482481719,37
97,0.0236362121027852,37
98,0.02381766918061854,37
99,0.023998520876245898,37
100,0.024178771914108416,37
101,0.024358426928095735,37
102,0.02453749046436001,37
103,0.024715966984014043,37
104,0.024893860865719368,37
105,0.025071176408169905,37
106,0.025247917832476294,37
107,0.025424089284455782,37
108,0.02559969483683235,37
109,0.02577473849135132,37
110,0.025949224180812518,37
111,0.026123155771025974,37
112,0.026296537062693696,37
113,0.026469371793220856,37
114,0.02664166363845997,37
115,0.026813416214390706,37
116,0.026984633078738586,37
117,0.027155317732535135,37
118,0.027325473621622107,37
119,0.027495104138102335,37
120,0.02766421262173943,37
121,0.027832802361308633,37
122,0.028000876595900826,37
123,0.028168438516181848,37
124,0.028335491265608814,37
125,0.0285020379416054,37
126,0.028668081596697724,37
127,0.028833625239612432,37
128,0.028998671836338613,37
129,0.02916322431115491,37
130,0.029327285547623295,37
131,0.029490858389550883,37
132,0.029653945641920875,37
133,0.029816550071794047,37
134,0.02997867440918183,37
135,0.030140321347892095,37
136,0.030301493546348653,37
137,0.030462193628385602,37
138,0.030622424184017286,37
139,0.030782187770184936,37
140,0.030941486911480832,37
141,0.031100324100850712,37
142,0.03125870180027537,37
143,0.03141662244143212,37
144,0.0315740884263369,37
145,0.03173110212796768,37
146,0.03188766589086977,37
147,0.03204378203174386,37
148,0.032199452840017295,37
149,0.032354680578399055,37
150,0.03250946748341923,37
151,0.032663815765953313,37
152,0.03281772761173209,37
153,0.03297120518183726,45
154,0.03312425061318361,45
155,0.033276866018988056,45
156,0.03342905348922586,45
157,0.033580815091074745,45
158,0.03373215286934705,45
159,0.03388306884691035,45
160,0.03403356502509719,45
161,0.03418364338410374,45
162,0.03433330588337841,45
163,0.034482554462000124,45
164,0.03463139103904706,45
165,0.03477981751395574,45
166,0.034927835766871175,45
167,0.03507544765898808,45
168,0.03522265503288348,45
169,0.03536945971284104,45
170,0.035515863505167375,45
171,0.03566186819850049,45
172,0.035807475564110694,45
173,0.03595268735619414,45
174,0.03609750531215927,45
175,0.036241931152906366,45
176,0.036385966583100345,45
177,0.03652961329143713,45
178,0.03667287295090366,45
179,0.036815747219031796,45
180,0.036958237738146306,45
181,0.037100346135607,45
182,0.03724207402404537,45
183,0.037383423001595736,45
184,0.03752439465212107,45
185,0.03766499054543379,45
186,0.037805212237511425,45
187,0.037945061270707584,45
188,0.038084539173958126,45
189,0.03822364746298275,45
190,0.03836238764048221,45
191,0.03850076119633107,45
192,0.03863876960776646,45
193,0.03877641433957252,45
194,0.038913696844261055,45
195,0.03905061856224815,45
196,0.039187180922027255,45
197,0.03932338534033832,45
198,0.03945923322233362,45
199,0.03959472596174001,45
200,0.03972986494101779,45
201,0.039864651531516346,45
202,0.03999908709362656,45
203,0.04013317297693012,45
204,0.040266910520345825,45
205,0.04040030105227292,45
206,0.04053334589073158,45
207,0.040666046343500545,45
208,0.04079840370825215,45
209,0.040930419272684586,45
210,0.04106209431465162,45
211,0.04119343010228988,45
212,0.041324427894143534,45
213,0.041455088939286684,45
214,0.04158541447744343,45
215,0.041715405739105677,45
216,0.04184506394564863,45
217,0.04197439030944428,45
218,0.042103386033972665,45
219,0.042232052313931144,45
220,0.04236039033534169,49
221,0.04248840127565618,49
222,0.0426160863038598,49
223,0.0427434465805727,49
224,0.04287048325814958,49
225,0.04299719748077785,49
226,0.043123590384573834,49
227,0.043249663097677346,49
228,0.04337541674034468,49
229,0.04350085242503992,49
230,0.04362597125652482,49
231,0.04375077433194694,49
232,0.04387526274092658,49
233,0.04399943756564197,49
234,0.04412329988091329,49
235,0.04424685075428515,49
236,0.044370091246107767,49
237,0.044493022409616785,49
238,0.04461564529101187,49
239,0.04473796092953407,49
240,0.044859970357541724,49
241,0.0449816746005855,49
242,0.04510307467748194,49
243,0.04522417160038609,49
244,0.04534496637486287,49
245,0.04546545999995736,49
246,0.045585653468264126,49
247,0.045705547765995294,49
248,0.045825143873047786,49
249,0.04594444276306941,49
